File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ResizableRubberband.cpp,"ResizableRubberband::qt_static_metacall(QObject *_o, QMetaObject::Call _c, int _id, void **_a)",39,39,30,5,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ResizableRubberband.cpp,ResizableRubberband::metaObject() const,2,2,2,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ResizableRubberband.cpp,ResizableRubberband::qt_metacast(const char *_clname),5,5,4,4,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ResizableRubberband.cpp,"ResizableRubberband::qt_metacall(QMetaObject::Call _c, int _id, void **_a)",14,14,10,6,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ResizableRubberband.cpp,ResizableRubberband::sendNumber(int _t1),3,3,4,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ResizableRubberband.cpp,ResizableRubberband::focusReceived(),2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ResizableRubberband.cpp,ResizableRubberband::toParentLabel(int _t1),3,3,4,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ToolBoxHandler.cpp,"ToolBoxHandler::qt_static_metacall(QObject *_o, QMetaObject::Call _c, int _id, void **_a)",10,10,7,2,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ToolBoxHandler.cpp,ToolBoxHandler::metaObject() const,2,2,2,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ToolBoxHandler.cpp,ToolBoxHandler::qt_metacast(const char *_clname),5,5,4,4,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\Debug\moc_ToolBoxHandler.cpp,"ToolBoxHandler::qt_metacall(QMetaObject::Call _c, int _id, void **_a)",14,14,10,6,0,0,0,0,
