File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\PixmapLabel.cpp,PixmapLabel::mousePressEvent(QMouseEvent* event),2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\PixmapLabel.cpp,PixmapLabel::paintEvent(QPaintEvent *event),53,10,8,2,1,0,42,144,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\PixmapLabel.cpp,PixmapLabel::setSelection(std::string c),2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\PixmapLabel.cpp,generatePixmap(QSize size),11,11,11,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ProgressBar.cpp,"ProgressBar::ProgressBar(int size, QWidget *parent)",3,3,3,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ProgressBar.cpp,ProgressBar::~ProgressBar(),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ProgressBar.cpp,ProgressBar::recieveUpdate(int i),2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,"ResizableRubberband::ResizableRubberband(int num, QPoint o, QWidget* parent)",26,20,20,0,2,0,4,14,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,ResizableRubberband::~ResizableRubberband(),2,1,1,0,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,ResizableRubberband::getFilters(),2,2,2,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,ResizableRubberband::mousePressEvent(QMouseEvent* event),8,8,6,2,0,0,0,0,
